task_type,weather,operator_skill,machine_age,estimated_time,actual_time
Earth Excavation,Windy,Intermediate,13,99.89,126.82
Material Loading,Rainy,Expert,4,82.09,95.48
Trenching,Sunny,Expert,11,23.94,25.3
Earth Excavation,Cloudy,Expert,3,29.01,27.08
Grading,Rainy,Beginner,3,98.65,157.33
Material Loading,Cloudy,Beginner,5,111.4,160.48
Material Loading,Cloudy,Beginner,8,116.29,146.88
Trenching,Windy,Expert,6,29.03,29.82
Material Loading,Sunny,Intermediate,6,87.28,95.71
Demolition,Windy,Expert,6,30.83,30.63
Earth Excavation,Cloudy,Expert,4,84.77,85.57
Grading,Cloudy,Expert,7,31.67,29.11
Earth Excavation,Cloudy,Intermediate,2,29.72,34.3
Trenching,Windy,Intermediate,6,87.05,106.44
Demolition,Windy,Expert,12,92.66,110.66
Earth Excavation,Windy,Expert,7,113.91,115.35
Material Loading,Rainy,Intermediate,8,115.06,159.72
Earth Excavation,Cloudy,Expert,11,55.87,57.41
Trenching,Sunny,Intermediate,2,86.28,90.5
Demolition,Sunny,Beginner,13,53.35,79.42
Demolition,Rainy,Beginner,14,96.52,149.17
Trenching,Rainy,Intermediate,13,34.76,50.91
Earth Excavation,Cloudy,Beginner,3,74.02,101.8
Earth Excavation,Sunny,Beginner,1,55.82,71.56
Demolition,Cloudy,Beginner,3,46.54,55.89
Grading,Sunny,Expert,2,67.62,65.53
Demolition,Sunny,Intermediate,9,42.15,47.0
Demolition,Cloudy,Intermediate,11,116.4,123.75
Grading,Windy,Intermediate,11,30.8,39.2
Grading,Sunny,Beginner,6,80.83,93.88
Material Loading,Cloudy,Intermediate,10,73.06,83.6
Demolition,Windy,Beginner,13,90.18,144.0
Demolition,Rainy,Intermediate,8,108.81,138.59
Grading,Windy,Intermediate,12,29.51,35.82
Material Loading,Cloudy,Beginner,11,112.3,143.47
Earth Excavation,Sunny,Intermediate,2,94.46,93.9
Trenching,Sunny,Expert,9,76.17,77.26
Grading,Cloudy,Expert,13,62.29,72.05
Earth Excavation,Cloudy,Expert,5,55.16,55.59
Trenching,Rainy,Expert,8,42.42,45.6
Demolition,Cloudy,Beginner,13,47.86,64.41
Grading,Sunny,Expert,11,102.95,98.06
Trenching,Cloudy,Expert,13,50.9,52.61
Earth Excavation,Rainy,Beginner,10,85.73,124.11
Earth Excavation,Sunny,Expert,9,41.51,40.07
Material Loading,Rainy,Intermediate,5,92.16,122.55
Demolition,Sunny,Beginner,3,35.74,45.22
Earth Excavation,Cloudy,Intermediate,11,62.4,74.28
Grading,Cloudy,Beginner,13,71.23,98.28
Earth Excavation,Cloudy,Expert,11,79.31,83.64
Material Loading,Sunny,Beginner,7,118.44,138.54
Trenching,Cloudy,Beginner,13,33.72,45.66
Material Loading,Sunny,Beginner,8,94.7,114.77
Grading,Rainy,Expert,9,103.34,129.1
Earth Excavation,Windy,Expert,1,63.62,63.1
Earth Excavation,Cloudy,Expert,7,77.34,81.48
Grading,Cloudy,Beginner,7,22.09,28.74
Demolition,Windy,Expert,6,28.81,32.32
Trenching,Windy,Expert,7,72.4,75.09
Material Loading,Cloudy,Beginner,6,97.91,119.69
Earth Excavation,Rainy,Intermediate,6,92.74,125.49
Trenching,Rainy,Beginner,3,45.6,63.22
Trenching,Sunny,Beginner,13,82.79,111.45
Demolition,Windy,Expert,10,84.3,100.74
Material Loading,Cloudy,Beginner,8,26.83,36.09
Material Loading,Cloudy,Expert,1,55.19,48.19
Grading,Windy,Beginner,1,56.87,72.59
Earth Excavation,Windy,Intermediate,10,75.43,96.6
Earth Excavation,Windy,Expert,11,38.82,43.56
Demolition,Rainy,Beginner,8,30.35,50.97
Material Loading,Sunny,Expert,11,37.26,35.34
Grading,Windy,Expert,9,80.98,85.01
Material Loading,Windy,Intermediate,13,53.84,68.23
Material Loading,Sunny,Intermediate,2,75.8,75.56
Material Loading,Rainy,Intermediate,2,78.27,88.93
Material Loading,Cloudy,Expert,12,86.21,84.47
Earth Excavation,Cloudy,Expert,7,84.35,82.36
Trenching,Sunny,Expert,11,62.34,60.56
Material Loading,Cloudy,Beginner,4,54.17,74.76
Trenching,Rainy,Beginner,3,27.72,43.95
Earth Excavation,Sunny,Expert,6,107.64,105.11
Demolition,Windy,Beginner,3,38.08,53.77
Demolition,Rainy,Expert,8,24.37,27.65
Trenching,Windy,Expert,5,95.24,104.62
Trenching,Rainy,Intermediate,13,98.44,144.27
Trenching,Cloudy,Expert,10,118.44,122.17
Material Loading,Windy,Expert,9,61.87,62.25
Trenching,Rainy,Intermediate,1,84.12,109.58
Demolition,Sunny,Expert,14,71.59,67.94
Earth Excavation,Rainy,Intermediate,8,110.53,133.14
Grading,Sunny,Beginner,14,65.11,86.39
Earth Excavation,Windy,Beginner,7,70.2,93.91
Earth Excavation,Cloudy,Beginner,1,51.87,60.72
Material Loading,Rainy,Beginner,1,48.69,75.49
Trenching,Windy,Intermediate,10,20.53,22.75
Material Loading,Rainy,Beginner,9,114.02,182.86
Grading,Sunny,Intermediate,4,50.12,47.41
Grading,Windy,Beginner,2,103.67,139.58
Demolition,Sunny,Expert,9,77.5,79.35
Material Loading,Windy,Beginner,10,55.28,81.4
Trenching,Sunny,Expert,6,26.77,25.67
Demolition,Sunny,Intermediate,14,67.01,78.46
Material Loading,Cloudy,Expert,1,55.71,48.57
Trenching,Sunny,Expert,12,95.67,89.36
Material Loading,Cloudy,Expert,3,103.04,104.0
Grading,Rainy,Beginner,2,91.6,146.48
Earth Excavation,Cloudy,Beginner,1,99.11,135.86
Material Loading,Cloudy,Expert,7,118.91,121.27
Material Loading,Sunny,Expert,4,48.61,48.79
Earth Excavation,Cloudy,Intermediate,2,99.93,105.68
Grading,Windy,Intermediate,6,117.37,136.75
Grading,Cloudy,Expert,5,100.11,103.85
Earth Excavation,Windy,Expert,14,38.05,41.17
Earth Excavation,Sunny,Intermediate,11,49.56,54.42
Grading,Rainy,Expert,8,55.15,58.44
Material Loading,Windy,Intermediate,11,118.0,156.98
Earth Excavation,Windy,Intermediate,9,100.11,124.34
Earth Excavation,Rainy,Expert,11,98.13,106.69
Earth Excavation,Rainy,Expert,6,56.22,70.15
Earth Excavation,Rainy,Expert,8,114.88,130.57
Earth Excavation,Rainy,Expert,6,59.8,70.51
Trenching,Sunny,Beginner,12,38.6,52.06
Demolition,Sunny,Intermediate,13,46.03,51.45
Demolition,Cloudy,Expert,8,40.02,37.87
Earth Excavation,Windy,Beginner,12,64.51,87.51
Material Loading,Cloudy,Expert,2,75.0,69.26
Material Loading,Rainy,Expert,12,112.73,140.11
Material Loading,Rainy,Beginner,4,99.21,140.75
Grading,Sunny,Intermediate,9,77.23,83.63
Demolition,Rainy,Expert,2,26.57,28.67
Grading,Windy,Intermediate,14,77.49,89.89
Material Loading,Sunny,Intermediate,8,88.01,92.1
Demolition,Rainy,Beginner,7,70.29,116.28
Earth Excavation,Rainy,Intermediate,3,36.2,48.63
Trenching,Cloudy,Expert,5,104.59,98.6
Demolition,Cloudy,Beginner,11,50.28,70.79
Demolition,Rainy,Expert,10,35.42,43.41
Demolition,Cloudy,Expert,1,102.52,88.62
Earth Excavation,Cloudy,Expert,4,96.7,93.45
Earth Excavation,Windy,Expert,9,48.97,57.67
Grading,Rainy,Expert,7,49.74,52.57
Earth Excavation,Rainy,Intermediate,7,68.43,82.66
Demolition,Rainy,Intermediate,14,91.84,131.52
Material Loading,Windy,Beginner,13,57.05,86.15
Material Loading,Rainy,Intermediate,2,46.75,54.34
Earth Excavation,Sunny,Intermediate,7,106.42,112.01
Trenching,Cloudy,Expert,12,51.27,57.12
Grading,Windy,Intermediate,5,69.74,73.95
Grading,Windy,Beginner,4,78.33,97.82
Material Loading,Windy,Expert,14,85.43,95.85
Demolition,Sunny,Beginner,7,33.39,40.85
Material Loading,Windy,Intermediate,1,60.06,67.66
Trenching,Cloudy,Expert,5,27.35,27.16
Demolition,Cloudy,Expert,11,81.1,78.75
Earth Excavation,Windy,Intermediate,13,118.68,149.23
Material Loading,Rainy,Beginner,10,70.91,112.32
Earth Excavation,Sunny,Beginner,12,53.3,71.26
Grading,Rainy,Expert,9,33.98,43.45
Material Loading,Rainy,Intermediate,10,93.93,119.01
Material Loading,Windy,Expert,10,49.98,57.87
Material Loading,Cloudy,Expert,2,117.99,115.63
Earth Excavation,Windy,Intermediate,11,98.29,126.64
Demolition,Rainy,Expert,1,78.35,79.83
Demolition,Windy,Beginner,14,88.07,120.11
Earth Excavation,Rainy,Beginner,8,51.37,74.32
Trenching,Windy,Expert,13,81.15,90.27
Earth Excavation,Rainy,Expert,4,76.09,93.98
Grading,Windy,Intermediate,3,65.97,75.24
Demolition,Cloudy,Expert,13,106.77,118.14
Material Loading,Windy,Beginner,4,47.9,63.11
Material Loading,Cloudy,Expert,4,89.02,87.3
Grading,Cloudy,Expert,13,92.17,94.25
Demolition,Windy,Intermediate,14,54.51,72.09
Trenching,Cloudy,Beginner,5,115.53,139.98
Grading,Cloudy,Expert,8,41.4,45.02
Material Loading,Cloudy,Beginner,2,81.57,106.65
Trenching,Sunny,Expert,9,42.57,39.53
Earth Excavation,Windy,Intermediate,12,67.24,85.84
Trenching,Sunny,Expert,3,60.69,61.15
Grading,Windy,Expert,4,95.59,94.23
Material Loading,Sunny,Beginner,11,77.41,103.84
Earth Excavation,Rainy,Intermediate,14,37.58,55.72
Grading,Windy,Beginner,12,116.21,186.44
Earth Excavation,Sunny,Intermediate,10,80.28,95.88
Material Loading,Cloudy,Intermediate,11,74.33,86.53
Trenching,Windy,Intermediate,4,100.88,111.5
Grading,Cloudy,Expert,3,21.41,20.16
Material Loading,Rainy,Beginner,10,105.61,180.57
Grading,Cloudy,Beginner,7,86.93,109.81
Trenching,Windy,Intermediate,4,20.68,23.11
Grading,Cloudy,Intermediate,5,78.25,87.53
Material Loading,Cloudy,Expert,4,26.21,23.79
Material Loading,Rainy,Intermediate,11,70.25,100.97
Material Loading,Sunny,Expert,5,56.75,50.63
Trenching,Windy,Beginner,8,94.77,137.96
Grading,Windy,Expert,13,86.41,91.22
Trenching,Sunny,Expert,8,72.82,68.82
Demolition,Sunny,Beginner,14,74.76,102.38
Demolition,Rainy,Beginner,6,105.45,159.09
Trenching,Windy,Beginner,9,64.55,84.62
Trenching,Windy,Intermediate,10,25.77,30.95
Material Loading,Sunny,Intermediate,5,101.65,111.98
Demolition,Sunny,Beginner,7,54.45,63.81
Earth Excavation,Sunny,Intermediate,1,48.71,46.05
Trenching,Windy,Intermediate,7,64.85,82.7
Grading,Windy,Beginner,11,116.41,183.34
Trenching,Cloudy,Beginner,3,119.28,151.49
Trenching,Rainy,Beginner,13,22.27,34.78
Demolition,Windy,Expert,7,102.34,102.93
Material Loading,Rainy,Intermediate,4,113.74,148.34
Earth Excavation,Sunny,Expert,7,81.49,85.32
Earth Excavation,Rainy,Beginner,2,30.09,40.07
Demolition,Sunny,Beginner,12,24.42,32.42
Demolition,Rainy,Beginner,3,70.39,100.0
Demolition,Cloudy,Expert,10,97.25,107.53
Trenching,Cloudy,Beginner,11,72.13,99.14
Material Loading,Sunny,Expert,10,107.97,115.69
Grading,Windy,Beginner,6,114.16,165.21
Demolition,Cloudy,Expert,7,60.83,59.05
Trenching,Windy,Beginner,14,42.53,68.58
Trenching,Windy,Beginner,9,61.27,86.68
Demolition,Rainy,Intermediate,4,45.5,54.86
Earth Excavation,Windy,Intermediate,2,73.56,87.97
Earth Excavation,Cloudy,Intermediate,11,80.5,85.18
Earth Excavation,Rainy,Expert,12,87.15,99.45
Trenching,Cloudy,Intermediate,1,41.18,40.96
Earth Excavation,Windy,Beginner,12,80.44,111.89
Trenching,Cloudy,Intermediate,7,66.63,77.09
Material Loading,Cloudy,Intermediate,9,108.28,123.08
Grading,Cloudy,Beginner,6,51.29,62.28
Trenching,Rainy,Beginner,5,75.33,115.81
Grading,Cloudy,Beginner,4,52.99,67.77
Trenching,Windy,Expert,11,114.35,121.58
Grading,Windy,Intermediate,3,93.28,102.56
Trenching,Windy,Beginner,9,119.03,186.92
Demolition,Sunny,Beginner,14,86.82,125.05
Grading,Rainy,Expert,4,26.8,28.0
Trenching,Windy,Intermediate,1,81.78,93.89
Demolition,Windy,Expert,8,21.57,23.21
Grading,Sunny,Beginner,9,92.22,121.49
Material Loading,Sunny,Expert,14,89.79,90.85
Trenching,Sunny,Beginner,9,34.89,42.82
Demolition,Cloudy,Intermediate,5,99.49,100.45
Grading,Windy,Expert,4,119.02,115.82
Earth Excavation,Sunny,Beginner,7,57.93,75.17
Earth Excavation,Sunny,Expert,3,28.27,28.02
Material Loading,Sunny,Expert,1,42.98,42.2
Demolition,Windy,Intermediate,1,112.42,129.51
Material Loading,Sunny,Beginner,14,51.45,76.88
Demolition,Rainy,Expert,14,59.83,67.43
Trenching,Rainy,Expert,14,104.94,133.78
Demolition,Cloudy,Intermediate,13,93.97,117.97
Earth Excavation,Cloudy,Beginner,2,63.71,87.43
Material Loading,Windy,Intermediate,1,83.41,97.92
Grading,Windy,Beginner,6,75.3,102.73
Trenching,Windy,Beginner,13,81.86,129.38
Earth Excavation,Sunny,Intermediate,3,58.0,63.13
Trenching,Windy,Intermediate,6,30.66,32.21
Material Loading,Windy,Intermediate,13,46.98,54.1
Trenching,Windy,Intermediate,9,75.47,88.82
Earth Excavation,Sunny,Intermediate,9,29.31,32.57
Material Loading,Windy,Beginner,5,61.38,89.82
Demolition,Rainy,Expert,9,36.96,42.47
Trenching,Cloudy,Intermediate,5,69.31,69.74
Grading,Cloudy,Intermediate,5,68.42,69.05
Material Loading,Rainy,Expert,11,69.58,85.36
Grading,Sunny,Beginner,5,20.68,25.51
Demolition,Windy,Intermediate,8,53.47,67.53
Demolition,Rainy,Intermediate,6,80.32,106.16
Grading,Cloudy,Beginner,7,116.87,150.99
Grading,Rainy,Intermediate,7,48.03,65.2
Material Loading,Sunny,Expert,4,79.22,74.83
Demolition,Sunny,Expert,8,114.3,104.65
Material Loading,Sunny,Intermediate,11,69.93,79.69
Trenching,Cloudy,Expert,3,91.52,94.23
Earth Excavation,Windy,Expert,8,78.22,84.21
Grading,Sunny,Intermediate,12,109.55,123.6
Earth Excavation,Sunny,Beginner,11,86.47,107.49
Demolition,Sunny,Expert,11,87.75,85.9
Material Loading,Windy,Beginner,1,29.86,37.6
Demolition,Rainy,Intermediate,6,59.11,79.28
Demolition,Rainy,Intermediate,1,68.28,79.37
Earth Excavation,Sunny,Expert,3,54.83,49.23
Trenching,Windy,Intermediate,8,29.76,36.92
Grading,Cloudy,Beginner,5,24.47,33.74
Earth Excavation,Cloudy,Expert,2,87.71,78.87
Trenching,Rainy,Expert,3,53.1,58.2
Grading,Rainy,Intermediate,11,38.45,52.65
Grading,Windy,Beginner,12,81.41,113.07
Demolition,Windy,Intermediate,1,90.47,94.6
Earth Excavation,Sunny,Expert,3,56.58,49.27
Earth Excavation,Cloudy,Expert,14,68.95,81.2
Material Loading,Windy,Expert,7,78.7,80.83
Grading,Rainy,Expert,12,100.06,131.17
Demolition,Sunny,Expert,3,51.32,45.09
Earth Excavation,Rainy,Intermediate,12,34.14,44.86
Demolition,Rainy,Expert,7,62.3,71.8
Demolition,Rainy,Expert,3,68.96,71.19
Material Loading,Windy,Expert,1,106.55,116.17
Grading,Rainy,Beginner,14,58.39,97.03
Grading,Windy,Expert,8,61.56,70.29
Grading,Rainy,Beginner,10,23.09,38.48
Material Loading,Sunny,Intermediate,4,73.76,71.62
Grading,Windy,Expert,9,31.32,31.19
Demolition,Cloudy,Expert,14,95.68,108.44
Grading,Rainy,Intermediate,2,93.6,118.09
Trenching,Cloudy,Beginner,8,46.28,67.54
Earth Excavation,Windy,Beginner,13,101.19,142.18
Demolition,Cloudy,Expert,10,83.28,80.79
Trenching,Rainy,Beginner,13,25.94,40.95
Material Loading,Rainy,Intermediate,12,49.26,67.17
Demolition,Sunny,Beginner,13,98.57,144.86
Material Loading,Rainy,Expert,14,33.27,38.06
Material Loading,Rainy,Expert,7,68.95,80.91
Material Loading,Windy,Intermediate,8,27.55,34.66
Earth Excavation,Windy,Expert,12,47.82,57.65
Material Loading,Windy,Intermediate,6,78.2,97.91
Earth Excavation,Windy,Expert,11,89.73,105.51
Demolition,Windy,Beginner,7,102.48,144.59
Material Loading,Cloudy,Intermediate,9,77.79,90.21
Grading,Cloudy,Expert,13,24.84,24.4
Grading,Sunny,Beginner,14,35.8,48.55
Grading,Rainy,Expert,3,108.21,115.6
Material Loading,Sunny,Expert,6,45.04,41.87
Trenching,Sunny,Intermediate,11,50.55,58.35
Trenching,Windy,Expert,2,90.37,82.15
Grading,Sunny,Beginner,10,42.62,58.28
Earth Excavation,Sunny,Expert,6,101.71,106.5
Grading,Rainy,Intermediate,2,42.89,48.19
Earth Excavation,Sunny,Intermediate,6,108.1,106.27
Trenching,Rainy,Beginner,9,76.33,122.45
Trenching,Windy,Intermediate,12,41.31,53.42
Grading,Windy,Beginner,2,109.66,137.02
Earth Excavation,Windy,Intermediate,7,51.45,56.19
Material Loading,Sunny,Beginner,9,80.1,109.41
Material Loading,Sunny,Expert,5,40.54,39.13
Trenching,Windy,Intermediate,11,25.46,33.56
Trenching,Windy,Intermediate,2,44.11,50.86
Earth Excavation,Sunny,Intermediate,6,33.2,37.73
Demolition,Windy,Intermediate,9,88.29,111.42
Earth Excavation,Sunny,Expert,2,21.38,18.51
Earth Excavation,Windy,Expert,5,82.86,86.15
Grading,Windy,Expert,7,28.24,30.13
Demolition,Rainy,Intermediate,2,50.99,62.55
Trenching,Rainy,Expert,6,59.07,69.44
Earth Excavation,Cloudy,Expert,7,93.0,100.55
Earth Excavation,Rainy,Beginner,7,31.6,49.78
Earth Excavation,Cloudy,Expert,12,85.81,84.93
Earth Excavation,Rainy,Expert,1,36.38,43.28
Demolition,Cloudy,Beginner,6,32.69,46.12
Material Loading,Sunny,Beginner,6,100.71,122.26
Earth Excavation,Cloudy,Expert,10,82.75,85.95
Demolition,Cloudy,Beginner,8,105.94,134.56
Trenching,Cloudy,Beginner,10,87.41,111.83
Demolition,Sunny,Beginner,14,106.29,137.98
Grading,Cloudy,Intermediate,3,37.9,44.76
Earth Excavation,Windy,Beginner,6,44.83,67.94
Material Loading,Cloudy,Beginner,10,57.28,79.42
Earth Excavation,Rainy,Beginner,13,71.58,105.9
Grading,Sunny,Intermediate,14,48.23,58.77
Material Loading,Sunny,Expert,8,20.8,19.01
Demolition,Cloudy,Expert,10,44.26,44.8
Grading,Rainy,Expert,9,96.05,107.31
Earth Excavation,Windy,Beginner,4,74.15,104.56
Earth Excavation,Cloudy,Beginner,13,85.73,130.58
Material Loading,Sunny,Beginner,9,118.31,152.27
